City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,65.77,85,92,11.01,overcast clouds
1,Atuona,PF,-9.8,-139.0333,77.13,73,12,14.29,few clouds
2,Hasaki,JP,35.7333,140.8333,70.29,47,47,2.86,scattered clouds
3,Mataura,NZ,-46.1927,168.8643,57.56,65,94,8.86,overcast clouds
4,Kosovska Mitrovica,XK,42.8833,20.8667,41.16,91,36,1.14,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,75.09,89,76,13.67,light rain
6,Bluff,NZ,-46.6,168.3333,54.97,67,66,14.47,broken clouds
7,Cape Town,ZA,-33.9258,18.4232,60.89,81,20,8.05,few clouds
8,Grindavik,IS,63.8424,-22.4338,44.55,87,0,10.36,clear sky
9,Ushuaia,AR,-54.8,-68.3,46.06,66,40,11.5,scattered clouds
10,Albany,US,42.6001,-73.9662,37.36,63,3,3.15,clear sky
11,Bredasdorp,ZA,-34.5322,20.0403,54.95,81,9,7.74,clear sky
12,Hermanus,ZA,-34.4187,19.2345,51.8,77,19,12.26,few clouds
13,San Patricio,US,28.017,-97.5169,78.67,77,9,11.32,clear sky
14,Lewisville,US,33.0462,-96.9942,73.69,90,0,8.05,clear sky
15,Qaanaaq,GL,77.484,-69.3632,-10.1,65,17,7.34,few clouds
16,Khatra,IN,22.9833,86.85,80.11,46,3,5.28,clear sky
17,Taltal,CL,-25.4,-70.4833,58.84,84,80,2.82,broken clouds
18,Avarua,CK,-21.2078,-159.775,75.25,69,75,12.66,broken clouds
19,Asyut,EG,27.181,31.1837,59.18,67,93,6.33,overcast clouds
20,Labuhan,ID,-6.8844,112.2051,86.88,62,97,3.53,overcast clouds
21,College,US,64.8569,-147.8028,21.15,85,75,0,broken clouds
22,Airai,TL,-8.9266,125.4092,76.48,55,58,1.72,broken clouds
23,Hithadhoo,MV,-0.6,73.0833,81.39,78,100,15.93,light rain
24,Lyndon,US,38.2567,-85.6016,55.54,50,0,5.75,clear sky
25,Alyangula,AU,-13.8483,136.4192,87.94,62,8,13.85,clear sky
26,Lebu,CL,-37.6167,-73.65,56.23,87,78,7.49,broken clouds
27,Lompoc,US,34.6391,-120.4579,51.85,93,20,0,few clouds
28,Meulaboh,ID,4.1363,96.1285,83.07,71,95,3,overcast clouds
29,Souillac,MU,-20.5167,57.5167,75.58,73,20,9.22,few clouds
30,Victoria,HK,22.2855,114.1577,81.97,76,35,8.99,scattered clouds
31,Georgetown,MY,5.4112,100.3354,84.13,81,20,8.05,few clouds
32,Saint-Paul,RE,-21.0096,55.2707,77.11,71,84,1.72,broken clouds
33,Tiksi,RU,71.6872,128.8694,-10.37,97,100,9.15,overcast clouds
